Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland
2494,20010101,20081231,31,51.7329,6.2688,Kalkar,Nordrhein-Westfalen
2497,19370101,20191231,505,50.5014,6.5264,Kall-Sistig,Nordrhein-Westfalen
2502,19520101,19561231,447,51.318,10.1348,"Heiligenstadt, Heilbad-Kalteneber",Thüringen
2503,19520101,20001231,487,50.6266,10.1455,Kaltennordheim,Thüringen
2506,19230101,19621231,270,51.2667,14.0833,Kamenz,Sachsen
2521,18960101,19931231,374,48.6765,11.2961,Karlshuld,Bayern
2522,18510101,20071231,112,49.0382,8.3641,Karlsruhe,Baden-Württemberg
2532,19510101,20121231,231,51.2963,9.4424,Kassel,Hessen
2533,18630101,19761231,198,51.334,9.4506,Kassel-Harleshausen,Hessen
2536,19510101,19921231,283,51.3173,9.4145,Kassel-Wilhelmshöhe (A),Hessen
2542,19400101,20151231,716,47.8652,10.6007,Kaufbeuren,Bayern
2543,19680101,20081231,585,48.0916,10.8609,Kaufering,Bayern
2546,19890101,20031231,141,48.5576,7.88,Kehl-Odelshofen,Baden-Württemberg
2559,18810101,20191231,705,47.7233,10.3348,Kempten,Bayern
2564,18810101,20191231,28,54.3776,10.1424,Kiel-Holtenau,Schleswig-Holstein
2565,18800101,19871231,17,54.3378,10.0929,Kiel-Kronshagen,Schleswig-Holstein
2575,20080101,20191231,426,49.1804,9.98,Kirchberg/Jagst-Herboldshausen,Baden-Württemberg
2578,18680101,20191231,12,53.9995,11.4341,Kirchdorf/Poel,Mecklenburg-Vorpommern
2597,18810101,20191231,282,50.224,10.0792,"Kissingen, Bad",Bayern
2600,19410101,20191231,193,49.7363,10.1781,Kitzingen,Bayern
2601,19050101,20191231,826,50.2218,8.4469,Kleiner Feldberg/Taunus,Hessen
2609,19750101,19801231,40,53.9587,10.3293,Klein Rönnau,Schleswig-Holstein
2618,19580101,20191231,732,50.8458,10.4803,Kleiner Inselsberg,Thüringen
